v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v99,v100,v101,v102,v103,v104,v105,v106,v107,v115,v116,v117,v118,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,Alder,alderinterval,recodetalder
5,4,3,5,1,1,2,2,5,4,8,2,8,1,3,3,1,4,3,3,2,1,3,3,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,5,1,7,7,7,7,7,7,4,8,5,2,1,1,1,1,1,1,1,1,1,8,3,4,1,3,8,8,10,2,10001,2,2,11,1,1,1,1,1,1,1,7,15,1,70,2,3,11,10001,11,11,101,11,11,1001,3,1,3,88,5,2,11,101,11,101,3,3,,11,6
1,2,5,2,4,1,1,2,1,1,2,2,2,1,2,5,1,2,2,1,1,1,2,4,4,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,1,1,7,7,7,7,7,7,4,8,2,2,1,1,2,2,1,1,2,2,1,1,4,1,4,2,9,7,10,2,1934,2,2,11,1,1,1,2,1,4,11,101,15,1,25,2,11,2,10001,11,11,101,11,11,1001,1,1,5,5,3,3,1,1,2,101,2,1,68,6,5
2,1,3,2,1,2,3,1,4,4,1,3,2,1,3,4,1,2,2,2,3,2,5,1,2,1,4,5,3,8,4,4,4,8,20,3,3,2,2,4,2,3,3,7,7,7,7,7,7,3,8,3,2,1,1,1,1,1,1,3,3,2,1,2,2,1,2,8,6,10,1,1932,1,11,1,2,1,1,6,1,4,2,8,15,1,70,1,4,1,2,1,1,14,1,1,50,1,1,6,4,4,2,1,6,1,6,2,3,70,7,5
4,5,4,3,5,5,1,5,1,3,1,2,1,2,4,5,2,3,1,2,5,1,2,1,3,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,3,3,7,7,11,11,11,11,11,8,11,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,8,88,9,2,1955,4,2,11,1,1,1,3,1,9,2,11,14,1,37,1,3,11,10001,11,11,101,11,11,1001,1,1,7,3,4,2,1,1,2,101,2,2,47,4,3
1,5,5,4,4,4,4,5,2,2,1,2,1,1,5,5,5,1,1,2,2,2,5,1,4,1,3,1,4,1,2,1,2,8,1,2,3,7,3,3,6,4,2,2,4,1,2,4,4,1,2,1,1,2,11,11,11,11,11,11,11,11,1,4,4,4,4,10,10,10,2,1972,5,1,11,2,1,1,5,1,7,2,18,1,11,37,1,1,11,10001,5,7,2,11,4,60,1,1,5,3,5,2,1,8,2,101,5,9,30,3,2
4,1,1,2,5,2,1,5,5,5,1,2,2,1,5,5,5,3,1,1,3,1,8,1,1,1,3,1,3,3,3,3,2,14,18,3,3,1,4,4,6,1,5,3,5,1,1,4,4,8,5,3,2,1,1,1,1,7,1,1,1,1,1,1,4,5,5,3,4,10,2,1965,1,11,1,3,2,1,4,1,4,2,13,1,11,37,1,3,11,10001,2,4,1,11,3,80,1,1,8,5,5,2,1,6,2,101,3,7,37,3,2
2,2,3,2,2,2,5,5,4,4,8,8,8,8,5,4,3,2,1,1,4,1,5,3,3,1,3,1,5,2,3,2,2,6,6,3,3,4,3,4,3,11,11,7,7,11,11,11,11,3,8,3,2,1,1,2,1,1,1,1,1,1,8,5,5,5,2,8,7,10,2,1939,1,11,1,2,1,1,1,1,1,1,7,13,1,37,2,3,11,10001,4,4,15,1,3,37,1,1,5,5,3,2,1,101,2,101,101,101,63,6,5
3,4,3,2,2,2,4,5,3,3,8,8,8,8,3,3,2,4,2,2,3,1,4,1,2,1,3,3,2,4,4,3,4,14,24,3,3,4,4,4,3,2,3,2,3,3,3,3,4,2,3,2,2,1,1,1,1,1,2,2,2,7,8,3,5,8,8,9,9,9,1,1958,1,11,1,5,4,1,5,1,7,2,12,1,11,38,1,3,11,10001,5,7,2,11,4,32,2,1,101,101,11,11,1,1,2,101,7,8,44,4,3
5,1,1,2,2,2,2,2,1,1,1,3,2,1,1,5,1,5,1,1,3,1,4,1,1,1,3,3,4,3,4,3,3,7,5,3,5,4,4,4,3,5,1,5,1,4,4,4,4,1,1,1,2,1,3,3,2,7,1,1,1,7,1,1,2,5,2,9,10,10,2,1966,1,11,1,4,3,1,1,1,1,1,7,1,11,48,2,1,11,10001,1,4,13,1,4,50,1,6,5,101,4,2,1,1,2,101,3,6,36,3,2
2,4,4,5,2,4,2,5,3,2,8,8,8,8,5,5,4,4,3,2,5,2,5,1,2,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,2,4,7,7,7,7,7,7,7,8,5,1,1,7,7,7,7,7,1,1,1,8,5,4,2,2,8,7,9,2,1963,5,2,11,2,2,1,5,1,9,1,12,14,1,888,2,2,11,10001,11,11,101,11,11,1001,2,1,88,10,5,8,1,1,1,1,1,1,39,3,2
2,2,3,3,4,2,2,3,2,2,1,2,2,1,5,4,5,4,1,1,3,2,4,1,2,1,3,4,2,4,4,4,4,30,30,3,3,4,4,4,5,1,3,4,1,4,4,4,4,2,3,2,1,1,1,1,7,7,1,2,7,7,1,2,3,5,3,7,6,6,1,1954,1,11,1,8,4,3,4,1,6,2,17,3,11,24,2,1,11,10001,7,7,1,11,1,37,1,1,6,5,5,2,1,8,2,101,5,8,48,4,3
1,5,5,8,1,1,3,5,1,1,8,8,8,8,5,5,5,1,1,1,1,1,5,1,1,2,11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,4,1,5,2,2,4,4,4,3,3,3,1,1,1,2,2,7,1,1,1,7,8,1,5,5,8,6,3,10,2,1958,3,2,11,2,2,1,3,1,5,2,10,1,11,37,2,3,11,10001,11,11,101,11,11,1001,1,1,101,5,4,2,1,8,1,8,3,4,44,4,3
2,3,4,2,5,1,1,5,1,1,1,2,2,1,3,5,2,3,1,1,4,2,3,1,4,1,3,1,4,2,3,3,3,10,7,2,2,1,3,4,3,1,4,4,2,1,2,4,3,4,3,5,1,1,1,1,2,7,1,1,2,7,1,2,2,4,3,9,7,9,2,1967,1,11,1,3,2,1,7,1,6,2,12,3,11,27,2,1,11,10001,7,9,6,11,3,37,1,1,4,5,3,4,1,1,1,1,3,6,35,3,2
