s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s2,s2b,s3_1,s3_2,s4_1,s4_2,s4_3,s4_4,s5_1,s5_2,s5_3,s5_4,s6,s7_1,s7_2,s7_3,s7_4,s7_5,s8,s8b,s9,s10a,s10b,s11,s12,s13,s14,bvq_14,bvq_34a,s15a,s15b,s16a,s16b,d17,s18_1,s18_2,s18_3,s18_4,s18_5,s18_6,s19,s20_1,s20_2,s20_3,s20_4,s21,s22a,s22b,s23,s24,s25,s26,s27_1,s27_2,s27_3,s28a,s28b,s29,s30a,s30b,s31_1,s31_2,s32_1,s32_2,s32_3,s32_4,s32_5,s32_6,s32_7,s32_8,s33_1,s33_2,s33_3,s33_4,s34_1,s34_2,s34_3,s34_4,s34_5,s34_6,bvq_01,bvq_02_3,bvq_03,bvq_04_1,bvq_04_1_oth,bvq_04_2,bvq_04_2_oth,bvq_05_1,bvq_05_2,bvq_07,bvq_08,bvq_09,bvq_10,bvq_15_1,bvq_15_2,bvq_16,bvq_17,bvq_18,bvq_21,bvq_22,bvq_22_oth,bvq_23,bvq_24,bvq_25,bvq_26,bvq_26_oth,bvq_28,bvq_29,bvq_30,bvq_31,bvq_32,bvq_33,bvq_37,bvq_dk1_1,bvq_dk1_2,bvq_dk1_3,bvq_dk1_4,GI
1,2,3,3,3,5,3,3,1,1,3,2,2,4,4,4,3,3,2,3,3,3,3,3,1,12,3,8,8,1,2,2,2,3,6,10,0,,,,,,,,,,,1,3,3,3,2,4,7,7,1,4,3,3,3,3,5,3,0,3,,5,,4,2,3,5,2,5,3,8,3,4,8,3,3,3,3,5,3,3,2,1960,15,8,Kemotekniker,4,,1,,2,2,,1,,,,,,1,2,,2,4,1,1,,1,0,0,1,29060,,1,1,0,0,0,0.700877428620546
3,3,8,8,4,2,3,3,3,2,5,5,1,5,4,4,8,8,3,5,3,3,3,3,1,12,2,1,8,1,1,1,2,1,1,14,0,7,0,4,5,3,3,3,2,2,4,8,8,8,8,2,3,8,8,1,1,2,8,3,3,3,3,3,3,,3,,8,8,8,4,8,5,8,8,8,8,8,8,2,5,8,5,8,8,1,1949,0,3,,11,Copiteknikker,11,1,2,2,,1,11,1,,1,2,1,6,Jehovas Vidner,1,5,2,,,2,0,0,2,8888888888,8888888888,5,0,0,1,0,1.58771569620826
1,5,5,5,2,5,3,3,1,1,3,8,5,1,2,2,1,1,3,3,3,3,3,3,1,12,3,3,8,2,2,2,2,1,6,5,1,8,0,5,3,1,8,4,4,4,4,1,3,8,3,2,4,4,4,2,3,2,3,3,3,5,8,0,3,,4,,4,2,1,2,2,5,5,5,4,4,5,4,2,4,4,3,2,3,2,2001,14,4,,1,,8,1,2,1,12,1,1,,50,2,2,1,2,,5,3,3,,,2,0,0,2,8888888888,8888888888,1,0,1,0,0,0.629290294437098
1,5,5,5,5,,3,3,1,1,5,2,5,1,2,2,4,4,3,3,3,3,3,3,1,6,3,3,8,1,1,2,2,1,1,21,0,21,0,2,2,3,3,2,3,3,3,3,3,3,3,2,4,5,3,4,4,1,3,3,3,5,3,3,,1,,5,5,2,1,4,2,2,2,2,4,2,3,3,5,5,3,4,5,5,2,1953,4,4,,6,,11,1,1,2,,,11,1,,2,1,1,2,,7,3,1,11,,2,0,0,2,8888888888,8888888888,3,1,0,0,0,0.250906656523757
1,5,5,3,1,5,3,3,2,1,5,5,5,1,1,1,1,1,2,3,3,3,3,3,1,12,1,2,3,8,2,2,2,1,2,12,8,10,8,4,1,1,2,5,3,4,3,2,3,3,3,2,3,6,7,1,4,3,3,3,3,5,3,2,,1,,8,3,4,1,3,1,8,3,8,3,3,1,3,1,5,3,3,2,3,2,1977,6,4,,6,,1,,3,2,,8,1,,37,2,2,2,2,,5,5,1,1,,3,1,0,4,8888888888,8888888888,3,1,0,0,0,0.729874265258579
1,5,5,5,3,5,3,3,1,1,5,5,5,5,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5,5,8,5,3,2,8,8,5,5,2,2,4,4,4,4,2,3,2,3,3,3,1,12,2,1,3,2,8,2,1,1,1,5,1,10,1,4,5,3,5,4,3,4,3,8,8,8,8,1,4,6,4,1,1,4,3,3,4,3,3,2,,2,,2,2,3,2,2,3,3,3,3,4,4,4,4,3,3,3,2,2,4,1,1952,18,8,Civil ingeniør,7,,11,1,2,2,,1,11,1,,2,2,1,1,,8,5,1,1,,2,0,0,2,20000,20000,3,1,1,0,0,0.916516231780915
4,2,5,5,5,5,3,2,3,1,5,8,2,1,5,5,2,2,,3,3,3,3,3,1,,3,8,8,2,8,2,2,1,1,,,,,4,3,3,3,2,4,2,,3,8,8,8,8,8,8,8,88,8,3,8,8,8,3,4,4,,,8,,8,8,8,8,8,8,8,8,1,1,1,1,5,4,2,2,3,3,1,,13,5,,2,,1,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,5,1,5,3,3,2,2,5,5,5,1,1,1,1,1,2,3,3,3,3,3,1,12,2,2,3,4,2,2,2,1,1,5,0,4,0,3,2,2,3,3,2,4,3,2,3,8,8,2,2,5,4,1,3,2,3,3,3,4,3,2,,1,,3,5,3,1,4,2,4,2,4,3,3,3,4,5,5,5,5,5,5,2,,13,5,,11,Q,1,,2,2,,1,1,,40,2,2,1,2,,7,4,1,1,,2,2,0,4,8888888888,8888888888,2,0,0,0,1,1.07896831390328
5,3,3,5,3,2,3,2,2,1,4,4,2,1,2,2,2,2,3,3,3,3,3,3,1,4,3,8,8,2,8,2,2,3,7,0,0,,,,,,,,,,,8,8,8,8,4,4,4,4,4,4,2,3,3,3,2,3,0,4,,3,,4,2,2,3,1,5,8,8,3,3,3,3,3,5,4,3,4,4,2,2003,14,3,,1,,8,2,,,,,,,,,,7,2,,8,99,3,,,3,2,0,5,8888888888,8888888888,3,0,1,0,0,1.571369531557
1,5,,4,1,5,3,3,2,1,5,2,3,1,1,1,1,1,3,3,3,3,3,3,1,12,3,4,3,2,2,2,2,1,1,22,0,22,0,3,4,3,8,2,3,3,4,8,8,8,8,2,8,7,1,3,3,2,3,3,3,3,3,2,2,,3,,3,3,1,2,1,3,4,5,5,1,5,5,3,5,5,5,5,4,1,1936,17,4,,4,,14,1,2,2,,1,11,1,,1,2,2,2,,7,4,1,6,,2,0,0,2,8888888888,8888888888,2,1,0,0,0,0.986900505058563
1,5,5,5,8,5,3,3,1,1,3,5,4,1,1,1,1,1,2,3,3,3,3,3,1,9,8,2,8,2,1,2,2,1,1,7,0,15,0,1,5,3,4,4,3,4,3,8,8,8,8,2,2,5,3,3,4,3,3,3,3,3,3,2,,1,,3,3,3,1,4,3,3,2,3,3,2,3,4,2,5,4,5,5,4,1,1955,20,3,,6,,1,,1,1,25,,10,1,,2,2,1,2,,7,5,1,1,,2,0,0,2,40000,66500,2,1,0,0,0,0.482408697621073
1,5,5,5,2,5,3,3,1,1,5,5,5,5,1,1,1,1,2,3,3,3,3,3,1,6,3,3,8,2,1,1,1,1,1,10,2,4,2,3,2,3,2,3,2,3,2,3,3,8,8,2,3,3,4,4,4,3,3,3,3,3,4,2,,1,,3,2,2,1,4,4,2,2,4,3,3,2,3,4,5,3,3,4,3,2,1971,6,4,,6,,1,,1,1,45,,1,,37,2,1,1,2,,7,5,1,1,,2,0,0,2,45000,90000,4,0,1,0,0,0.481587804203597
1,5,5,5,2,5,3,3,1,1,5,2,4,1,1,1,1,1,2,3,3,3,3,3,1,12,3,3,4,2,1,2,2,3,6,8,0,,,,,,,,,,,8,8,8,8,2,1,4,3,4,4,3,3,3,3,4,3,0,2,,2,,4,2,1,2,1,5,2,3,3,3,3,4,5,5,5,5,5,4,2,1956,13,3,,4,,10,1,2,2,,1,,,,,,1,2,,7,6,1,1,,1,0,0,1,35000,,1,0,0,1,0,0.450313120496694
1,5,5,2,2,5,1,2,1,1,4,5,5,1,1,1,1,1,2,3,3,3,3,3,1,24,2,3,6,2,1,2,1,3,5,4,0,,,,,,,,,,,3,3,3,3,2,1,2,1,4,4,3,2,3,3,4,3,2,,1,,1,4,2,1,5,1,8,1,5,4,3,3,4,5,5,3,5,5,5,1,1955,4,3,,3,,1,,1,2,,,,,,,,1,1,,7,4,1,1,,0,0,0,,32000,,2,0,1,0,0,0.819558308146045
2,5,5,4,3,5,3,3,2,2,2,3,5,1,4,4,3,3,2,3,3,3,3,3,1,11,2,4,3,2,2,8,2,1,1,7,20,15,60,4,3,4,3,2,6,2,3,1,1,2,2,2,1,5,3,1,4,4,3,3,3,4,4,2,,4,,2,2,4,1,2,3,5,2,3,3,3,1,4,4,5,2,5,1,4,1,1989,17,6,,6,,1,,2,2,,1,4,,37,2,1,1,2,,8,5,1,2,,2,0,2,4,42500,74500,5,1,0,0,0,1.25824393637764
2,4,2,3,2,4,3,3,2,2,4,5,4,1,1,1,1,1,4,3,3,3,3,3,1,15,3,4,3,2,2,2,2,1,1,30,25,35,12,4,2,3,2,3,4,3,3,3,3,3,3,3,4,5,3,3,3,2,3,3,3,3,3,3,3,,5,,3,1,1,4,1,5,3,3,5,4,4,4,4,5,5,5,5,5,2,1955,14,3,,4,,1,,1,2,,,11,1,,1,2,1,2,,6,4,1,1,,2,0,0,2,35000,8888888888,3,1,0,0,0,0.450313120496694
1,4,5,5,3,5,3,3,2,1,5,3,5,1,1,1,1,1,2,3,3,3,3,3,1,18,2,4,8,2,2,2,2,1,1,15,5,15,4,3,1,1,3,2,4,1,3,2,3,3,3,2,4,6,4,4,3,3,3,3,3,4,3,2,,1,,3,4,3,1,4,2,5,4,5,4,3,3,5,2,4,4,5,2,2,2,1964,17,4,,6,,1,,1,2,,,1,,30,2,2,1,2,,6,4,1,6,,2,0,0,2,48000,8888888888,3,0,1,0,0,0.481587804203597
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,2,,8,8,8,8,8,8,8,88,7,10,0,,,,,,,,,,,8,8,8,8,8,8,8,8,88,8,8,8,8,8,8,8,4,,4,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1951,11,3,,3,,14,2,,,,,,,,,,2,7,,99,99,7,,,2,0,0,2,8888888888,8888888888,7,1,0,0,0,0.725707327806855
1,5,5,5,2,5,3,3,2,2,5,5,5,1,3,3,2,2,2,3,3,3,3,3,2,,2,2,8,8,1,2,2,3,4,25,0,,,,,,,,,,,8,8,8,8,2,4,7,8,4,4,3,3,3,3,3,4,2,,4,,3,3,5,1,3,3,3,3,3,4,8,3,3,5,5,5,5,5,5,2,,14,3,,6,,11,1,1,2,,,,,,,,2,2,,5,6,1,11,,,,,1,8888888888,8888888888,4,1,0,0,0,0.404807792799778
1,5,5,5,3,3,3,3,8,8,5,3,3,1,1,1,1,1,2,3,3,3,3,3,1,10,2,8,8,2,1,2,2,1,1,35,130,30,110,1,2,3,2,1,3,2,3,3,1,8,2,2,8,7,8,1,2,5,3,3,3,3,4,2,3,,3,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1987,12,5,,4,,14,1,2,2,,8,1,,45,2,1,2,1,,8,10,1,11,,2,2,0,4,183600,400000,4,0,1,0,0,1.61092130588553
2,3,5,5,3,5,3,3,2,2,5,5,5,1,2,2,8,8,2,3,3,3,3,3,1,6,2,2,5,4,2,2,2,3,5,20,0,,,,,,,,,,,8,8,8,8,2,4,5,8,2,4,4,3,3,3,5,3,1,3,,3,,4,3,2,8,3,8,8,8,1,1,2,8,4,5,4,4,4,5,2,1940,18,7,,6,,11,1,2,2,,2,,,,,,1,2,,88,5,1,2,,1,0,0,1,8888888888,,1,1,0,0,0,0.414134417991036
1,4,1,3,4,4,3,2,2,2,5,2,1,1,1,1,1,1,2,3,3,3,3,3,2,,2,2,3,2,2,4,2,1,1,2,2,2,0,4,1,1,1,1,1,1,1,1,,,,2,8,3,1,1,2,4,3,3,3,3,4,2,3,,2,,4,3,1,5,1,8,1,2,1,1,1,1,5,5,2,2,5,5,2,1962,12,2,,11,Handelsudannet,1,,2,1,8,1,1,,37,2,1,1,2,,7,6,1,4,,2,,,2,24000,74000,2,1,0,0,0,0.700877428620546
1,2,2,2,2,2,3,1,2,3,2,2,1,5,1,2,5,5,4,5,2,3,3,3,1,12,2,2,6,2,2,1,1,3,4,10,2,,,,,,,,,,,,1,,,2,3,7,3,1,1,7,4,4,4,2,5,3,,1,,1,2,2,2,2,2,2,2,2,3,2,2,5,5,5,3,3,2,5,2,1976,7,5,,3,,10,1,2,2,,1,,,,,,2,5,,5,5,1,6,,3,0,0,3,15000,35000,3,0,1,0,0,2.03802041060661
1,5,5,5,3,5,3,3,1,1,2,3,5,1,1,1,1,1,2,3,3,3,3,3,1,12,8,2,6,2,2,2,2,1,6,2,5,30,30,5,5,4,4,5,4,4,3,1,1,3,3,2,7,7,4,1,4,3,3,3,3,3,4,1,2,,3,,2,1,1,2,2,2,1,2,5,1,1,5,4,5,2,3,5,5,1,1983,4,3,,3,,1,,2,2,,1,1,,35,1,2,2,2,,8,6,1,9,,2,0,1,3,40000,60000,5,0,0,1,0,1.6851852389066
2,3,5,8,8,5,3,3,8,8,2,2,5,1,1,1,1,1,1,3,3,3,3,3,1,6,3,8,8,1,8,8,8,3,6,10,0,,,,,,,,,,,8,3,3,3,2,2,5,3,3,4,5,3,3,3,3,4,0,3,,5,,4,8,1,4,1,5,4,4,3,3,3,3,3,3,4,5,2,3,1,1994,17,4,,6,,1,,2,2,,1,,,,,,1,2,,8,4,1,11,,1,0,0,1,35000,,1,1,0,0,0,0.795014582668273
1,5,5,4,2,5,3,3,2,2,2,5,5,1,4,4,3,3,2,3,3,3,3,3,1,6,2,2,8,1,2,2,2,1,1,6,2,6,6,4,5,4,4,4,3,3,3,3,3,3,3,2,5,6,2,3,4,4,3,3,3,3,3,2,,3,,4,2,2,2,2,4,2,1,1,3,4,3,3,3,5,3,5,5,5,1,,14,3,,3,,1,,2,2,,1,1,,48,1,2,1,2,,88,6,1,1,,2,0,0,2,8888888888,8888888888,5,0,0,1,0,0.482408697621073
1,4,5,8,1,5,3,3,8,8,5,5,5,1,2,2,4,4,3,3,3,3,3,3,1,12,8,8,8,8,2,2,2,1,1,20,3,20,3,3,4,4,4,4,4,4,3,3,3,3,3,2,4,5,4,2,2,2,3,3,3,3,5,1,2,,2,,2,4,1,1,4,5,1,4,4,2,1,4,4,4,1,3,1,3,1,1971,17,4,,6,,1,,1,2,,,1,,12,1,2,1,2,,5,2,1,1,,2,0,0,2,38000,55000,3,0,0,0,1,0.575472038210333
1,3,4,5,3,5,3,3,2,1,4,3,3,1,2,2,1,1,3,3,3,3,3,3,1,12,3,2,1,2,2,2,2,1,1,10,6,12,0,4,4,2,2,5,4,4,3,8,8,8,8,2,2,2,2,4,4,3,3,3,3,4,3,5,,1,,4,2,3,1,5,2,5,3,3,2,4,4,5,5,5,5,5,3,3,2,1940,23,4,,6,,11,1,1,1,20,,11,1,,1,1,1,2,,5,3,1,1,,2,0,0,2,8888888888,8888888888,3,1,0,0,0,0.755398463961247
2,5,8,8,3,8,3,3,1,1,5,3,5,1,2,2,4,4,2,3,3,3,3,3,1,9,2,3,8,2,1,2,1,2,2,4,0,,,,3,6,6,4,3,4,,8,8,8,8,2,3,7,6,4,4,3,3,3,3,4,5,1,,2,,5,3,8,1,2,1,8,4,8,2,3,1,3,5,5,2,3,2,5,2,1981,18,4,,5,,3,,1,2,,,11,1,,2,1,1,2,,8,6,1,11,,2,1,0,3,50000,50000,1,0,1,0,0,0.729874265258579
1,5,5,8,8,5,3,3,8,8,3,2,3,1,2,2,2,2,1,3,3,3,3,3,1,6,8,8,8,2,8,2,2,2,6,4,1,,,,3,4,3,3,3,3,,2,2,2,2,2,2,4,2,4,4,4,3,3,3,3,4,0,2,,3,,3,5,1,2,3,3,3,3,3,3,3,3,4,5,3,5,4,5,1,1974,18,8,Master grad,7,,2,,2,1,16,2,1,,40,2,1,1,2,,6,99,1,2,,1,0,0,1,8888888888,,1,1,0,0,0,0.771554022672409
1,5,5,,2,5,3,3,2,2,5,3,5,1,1,1,1,1,2,3,3,3,3,3,1,24,3,4,3,2,1,2,2,1,1,20,0,20,0,3,4,4,8,4,3,3,3,8,8,8,8,2,8,8,1,1,1,2,3,3,3,4,3,2,3,,8,,3,3,3,3,3,3,3,3,8,8,8,8,3,5,3,5,5,3,1,1943,12,3,,4,,11,1,2,1,4,1,11,1,,2,2,2,2,,8,4,1,1,,2,0,0,2,15000,30000,3,1,0,0,0,0.725707327806855
2,4,5,8,4,5,1,3,2,1,4,2,4,1,4,4,4,4,2,3,3,3,3,3,1,6,2,4,3,2,8,2,2,1,1,13,0,13,0,3,5,4,8,2,3,1,3,3,8,8,8,2,3,4,7,7,7,3,3,3,3,3,4,2,,2,,3,2,4,2,2,3,2,1,2,3,2,3,5,5,5,2,5,4,5,1,1968,14,4,,4,,1,,1,1,7,,1,,37,1,1,1,2,,6,4,1,1,,2,0,0,2,32000,70000,1,0,1,0,0,1.18191106082337
2,4,4,4,3,4,3,3,2,1,4,3,3,1,4,3,3,3,2,3,3,3,3,3,1,6,3,3,1,4,2,2,2,2,4,5,0,,,,1,1,1,1,1,1,,3,3,8,8,2,2,6,4,3,3,2,3,3,3,3,4,2,,2,,2,2,3,2,2,2,2,2,2,2,2,3,3,4,4,2,3,3,,1,1974,13,7,,3,,1,,2,2,,1,1,,37,2,2,1,2,,8,6,1,3,,1,0,0,1,25000,,3,1,0,0,0,1.9034555434758
2,4,4,4,5,5,3,3,2,1,4,3,2,3,4,4,2,2,2,3,3,3,3,3,1,6,2,2,2,2,1,2,2,1,1,20,2,10,1,3,3,3,3,2,1,1,1,3,1,3,2,2,8,7,5,4,4,4,3,3,3,4,4,2,,1,,3,2,1,1,3,1,2,1,1,5,4,1,8,5,5,5,5,3,5,2,1970,18,4,,6,,1,,2,1,7,1,1,,37,2,1,1,2,,6,4,1,1,,1,,,1,60000,,2,0,0,1,0,0.720983397796356
1,5,5,4,2,5,3,3,8,8,5,8,5,1,1,1,1,1,3,3,3,3,3,3,1,12,2,2,8,2,8,2,2,1,1,15,3,3,1,3,1,2,2,2,1,2,2,2,3,3,3,2,2,7,4,4,4,3,3,3,3,4,3,2,3,,2,,5,3,1,4,2,4,1,8,8,8,8,8,5,5,3,3,3,5,2,,11,3,,2,,1,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2,4,5,5,5,4,3,2,1,1,2,3,4,1,2,2,1,1,3,3,3,3,3,3,1,6,3,3,4,2,1,2,2,3,6,3,0,,,,,,,,,,,2,8,8,8,2,3,7,3,3,2,3,3,3,3,2,8,0,,2,,8,1,3,1,1,5,4,1,1,3,3,4,3,3,4,1,4,5,4,1,1993,16,5,,4,,8,1,2,1,14,1,,,,,,1,2,,8,4,1,7,,2,0,0,2,10000,8888888888,1,1,0,0,0,1.27463708397261
2,5,5,3,4,5,3,3,2,1,5,3,5,1,4,4,4,5,2,3,3,3,3,3,1,6,2,2,8,8,1,2,2,1,2,6,2,4,1,3,3,3,2,4,3,4,3,3,3,8,3,2,2,2,2,4,4,2,3,3,3,4,4,3,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,5,4,5,3,2,1,1,2,2,5,1,1,1,1,1,2,3,3,3,3,3,1,6,8,3,8,2,2,2,2,3,6,5,0,,,,,,,,,,,3,3,3,3,2,1,4,6,1,4,2,3,3,3,5,2,0,3,,3,,4,4,1,3,2,5,4,4,3,3,2,5,3,4,4,3,2,5,2,1982,20,4,,7,,1,,2,1,8,1,,,,,,1,2,,7,4,1,2,,1,0,0,1,70000,,1,0,0,1,0,0.653756034461114
2,3,5,3,4,4,3,2,2,1,3,4,3,1,1,2,1,1,2,4,3,3,3,3,1,6,3,2,3,8,2,2,1,88,7,3,12,,,,,,,,,,,1,1,3,3,2,3,3,3,2,2,4,8,8,8,1,4,2,,2,,3,3,2,2,3,2,3,3,3,8,8,8,8,3,5,4,4,4,4,2,1994,13,8,Pædagogudannelse,6,,8,2,,,,,,,,,,1,5,,88,99,1,2,,0,0,2,2,8888888888,,3,0,1,0,0,2.49941502265148
1,5,5,5,3,5,3,3,1,1,3,3,3,1,1,1,1,1,2,3,3,3,3,3,1,12,2,3,4,2,2,4,2,3,6,3,0,,,,,,,,,,,2,3,3,3,2,4,7,4,3,3,3,8,8,8,5,3,0,,1,,5,3,4,2,2,1,2,3,2,4,3,3,4,5,1,4,5,1,5,1,1993,17,7,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5,5,8,5,3,3,1,1,5,1,4,1,4,4,4,4,2,3,3,3,3,3,1,12,3,1,8,2,1,2,1,1,1,30,2,25,2,4,3,3,3,4,3,3,3,3,3,3,3,3,1,7,1,1,1,3,3,3,3,2,3,2,,1,,3,1,4,1,2,1,3,2,2,3,3,2,4,5,5,4,3,2,5,1,1975,5,3,,3,,1,,2,1,8,1,1,,37,2,2,3,2,,7,2,1,2,,2,1,1,4,60000,100000,3,1,0,0,0,0.961376306355894
1,2,4,5,5,5,3,2,2,1,5,3,1,1,4,4,1,2,3,3,2,3,3,3,1,8,8,1,4,8,1,2,2,3,5,3,0,,,,,,,,,,,8,,,,2,4,7,1,1,1,3,3,3,3,,3,2,,1,,3,2,2,2,2,1,3,2,2,3,3,3,3,5,5,3,3,5,3,1,1932,17,4,,7,,11,1,4,,2,1,,,,,,2,2,,8,5,1,9,,1,,,1,8888888888,,3,1,0,0,0,1.17536028203555
1,5,5,4,2,5,3,3,1,1,5,4,5,5,1,1,2,2,2,3,3,3,3,3,2,,2,3,8,2,2,2,2,1,1,18,3,8,0,3,3,3,4,4,4,3,4,2,3,3,3,2,2,6,4,6,3,3,3,3,3,4,4,5,1,,2,,1,3,1,3,1,4,1,2,1,1,1,1,5,5,8,3,5,5,1,1962,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,4,3,5,3,3,8,8,3,2,5,1,1,1,1,1,2,3,3,3,3,3,1,12,2,8,8,2,2,2,2,1,1,10,2,6,0,3,2,3,2,3,2,4,2,2,3,3,3,2,4,6,3,4,4,3,3,3,3,5,4,2,3,,5,,5,2,1,4,1,5,5,5,5,4,4,4,3,5,4,5,2,4,2,1966,19,4,,7,,1,,1,2,,,1,,55,2,1,1,2,,8,3,1,3,,3,0,0,3,40000,1400000,2,0,0,1,0,0.450884718013568
5,4,5,3,1,1,4,3,3,2,3,3,1,5,5,5,5,5,3,5,3,3,3,3,1,12,3,8,8,8,8,8,8,1,1,20,10,10,5,3,1,4,3,2,2,2,3,8,8,8,8,2,6,6,4,88,1,4,3,3,3,3,3,3,3,,8,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1974,15,5,,11,Køkkenassistent,3,,1,2,,,1,,40,1,1,1,2,,4,7,1,8,,3,1,0,4,8888888888,8888888888,3,0,0,1,0,1.04160904080181
1,5,5,5,1,5,1,2,1,1,5,5,5,5,1,1,1,1,2,3,3,3,3,3,1,12,2,2,2,2,1,1,1,3,6,4,0,,,,,,,,,,,8,8,8,8,1,1,3,1,1,1,3,3,3,3,3,4,0,3,,2,,5,5,1,2,1,5,5,5,3,3,3,3,5,5,2,5,5,,1,1962,14,4,,7,,12,1,1,2,,,,,,,,2,2,,2,8,1,2,,1,0,0,1,8888888888,,1,1,0,0,0,1.49356688452993
2,4,5,4,3,5,3,8,2,2,3,3,3,1,2,2,1,1,2,3,3,3,3,3,1,12,2,4,3,2,8,2,2,2,6,10,0,,,,1,8,8,1,1,1,,2,2,8,8,2,5,6,4,3,3,4,3,3,3,4,4,0,,1,,8,4,2,1,3,2,4,4,8,3,3,3,3,3,5,4,4,3,3,2,1989,19,4,,6,,1,,1,2,,,5,,47,1,2,1,2,,7,6,1,2,,1,0,0,1,28000,,1,1,0,0,0,0.910678732404955
1,4,5,5,1,5,3,3,1,1,4,3,4,1,2,2,1,1,2,3,3,3,3,3,1,12,3,4,1,2,2,2,2,1,1,5,0,5,0,4,2,4,3,3,2,3,3,2,3,3,3,2,2,4,3,1,3,1,3,3,3,3,1,0,3,,5,,4,3,1,4,1,5,2,4,5,3,4,4,5,5,3,5,3,5,2,1993,22,8,"GCSEs (UK), International Baccalaureate",5,,1,,2,1,2,2,1,,45,2,1,3,2,,6,5,3,,,2,0,0,2,79000,130000,2,0,1,0,0,2.03195560010704
2,4,4,5,4,5,3,3,1,1,5,2,2,1,4,4,3,3,2,3,3,3,3,3,1,10,3,8,8,2,3,1,8,1,1,10,0,10,0,4,4,2,3,2,3,2,3,2,3,3,8,2,1,4,4,1,1,2,3,3,3,5,2,2,2,,2,,2,4,1,2,1,4,1,2,3,3,3,3,5,5,2,5,4,4,2,1980,22,7,,8,,1,,1,2,,,1,,40,2,2,1,2,,7,3,1,11,,2,2,0,0,70000,110000,2,1,0,0,0,0.733988700703818
2,5,5,5,2,5,3,3,2,1,3,3,5,1,2,2,1,1,2,3,3,3,3,3,1,12,3,4,1,2,1,2,2,3,4,7,0,,,,,,,,,,,3,8,8,8,2,3,4,2,6,6,3,3,3,3,3,3,0,3,,3,,4,2,1,4,2,5,3,2,3,3,4,5,4,5,5,5,4,5,2,1965,41,8,Bachelor,6,,1,,1,2,,,,,,,,1,2,,7,4,1,2,,1,0,0,1,40000,,2,0,0,1,0,0.450884718013568
2,4,4,4,2,5,3,1,2,2,5,2,5,1,2,2,2,2,3,3,3,3,3,3,1,12,2,8,3,4,2,1,2,1,1,5,3,3,1,3,1,2,2,2,2,2,3,2,3,3,3,2,3,6,3,1,1,2,3,3,3,5,3,3,1,,3,,1,3,1,3,2,3,2,2,3,3,1,3,8,5,3,5,4,8,2,1966,13,8,Pædagogen,6,,1,,2,2,,2,1,,50,2,1,1,2,,7,4,1,1,,2,0,0,2,25000,8888888888,4,0,1,0,0,0.450884718013568
1,8,8,8,3,8,3,3,8,8,5,5,5,1,1,1,1,1,2,3,3,3,3,3,1,10,2,3,4,2,1,2,2,1,6,10,168,6,168,3,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,5,5,5,3,3,1,1,4,5,5,1,1,1,1,1,3,3,3,3,3,3,1,2,3,2,3,2,8,2,2,3,6,0,0,,,,,,,,,,,8,8,8,8,3,4,3,1,4,4,1,3,3,3,8,3,0,3,,5,,4,2,1,5,1,5,5,5,5,4,4,5,2,5,5,5,4,2,2,2004,13,3,,1,,8,2,,,,,,,,,,1,2,,7,4,3,,,3,0,0,3,1000,66000,4,1,0,0,0,1.23010548558679
5,2,1,2,3,3,2,2,3,1,3,2,5,1,4,3,3,3,2,4,1,3,2,3,1,11,2,1,5,2,2,2,2,1,6,10,8,8,10,1,4,2,4,3,2,3,3,1,2,3,3,2,6,7,2,1,1,1,3,3,3,1,4,1,,3,,3,1,4,3,1,1,2,2,1,2,1,3,1,5,5,2,3,5,5,1,1996,16,6,,1,,8,1,1,2,,,8,1,,2,2,3,2,,8,4,1,4,,2,0,1,3,8888888888,8888888888,1,0,1,0,0,1.39051615848161
4,5,5,2,5,8,3,3,2,1,3,3,5,5,2,2,1,1,3,3,3,3,3,3,1,12,3,2,3,2,1,2,2,3,4,3,0,,,,,,,,,,,8,8,8,8,2,4,4,7,4,4,5,3,3,2,1,5,2,,1,,8,4,2,2,5,1,4,1,1,3,3,4,4,,,,,,5,1,1957,5,5,,11,Electro mekaniker,10,1,2,2,,1,,,,,,1,2,,5,5,1,4,,0,0,0,0,25000,,4,0,1,0,0,1.47353765864486
